编号,日期,品名,途径,分类,数量,价格
1,819,平头滚花拉铆螺母,网购|是,标件（含轴承）,1,4.10
2,818,螺丝组M10,网购|是,标件（含轴承）,若干,14.67
3,818,热熔滚花螺母,网购|是,标件（含轴承）,若干,26.77
4,818,推理滚针3042,网购|是,标件（含轴承）,18,36.30
5,818,塞打螺丝组Φ10-M8,网购|是,标件（含轴承）,若干,55.32
6,818,热熔滚花螺母+铜柱,网购|是,标件（含轴承）,若干,16.32
7,818,推力球轴承-3508用-51200,网购|是,标件（含轴承）,10,26.00
8,809,MG9导轨,网购|是,标件（含轴承）,40,480.00
9,806,同步带压板,网购|是,标件（含轴承）,8,115.00
10,805,油压缓冲器ACA2025-1,网购|是,标件（含轴承）,2,136.00
11,805,光轴固定座-SK10,网购|是,标件（含轴承）,6,10.80
12,805,同步带轮+同步带,网购|是,标件（含轴承）,若干,296.95
13,726,铜柱,网购|是,标件（含轴承）,1,2.60
14,726,M3-304拉铆大沉头,网购|是,标件（含轴承）,10,47.00
15,726,导轨+滑块,网购|是,标件（含轴承）,1,628.00
16,818,防松胶,网购|是,电控耗材,1,1.38
17,811,尼龙线缆拖链1,网购|是,电控耗材,3,20.74
18,808,尼龙线缆拖链2,网购|是,电控耗材,2,14.50
19,825,紫铜丝线,网购|是,电控耗材,20,14.00
20,807,小功率导电滑环-6路,网购|是,电气配件,1,21.90
21,805,黄铜导电刷,网购|是,电气配件,6,42.00
22,817,拉铆头M3,网购|是,机件工具,1,12.00
23,809,螺丝刀套装,网购|是,机件工具,1,4.40
24,811,M3-4孔-铝排转接,网购|是,金属件加工,20,89.48
25,809,铝方管加工,网购|是,金属件加工,51,510.77
26,808,step-5mm-铝板定制,网购|是,金属件加工,16,160.00
27,805,缓冲器固定座,网购|是,金属件加工,2,32.00
28,805,同步带轮定制,网购|是,金属件加工,若干,294.00
29,805,拓竹PETG,网购|是,3D打印,1,84.15
30,812,椴木激光切割,网购|是,板材定制,1,75.00
31,816,3030铝型材角码,网购|是,标件（含轴承）,若干,21.81
,,,,,合计,3293.96